Watch for new projects and new beginnings | Prepare to take something on faith | Something new comes your way; go for it | freedom | faith | inexperience | innocence | Freeing yourself from limitation | Expressing joy and youthful vigor | Being open-minded | Taking a leap of faith | Attuning yourself to your instincts | Being eager or curious | Exploring your potential | Embracing innovation and change | Being gullible and naive | Taking unnecessary risks | Failing to be serious when required | Being silly or distracted | Lacking experience | Failing to honor well-established traditions and limits | Behaving inappropriately | The Fool | 0 | major |  |  |  |  |  | 
Someone's using drugs or alcohol to excess | It's time to get back on that diet |  | blending | synthesis | mediation | combination | Bringing opposites together | Moderating your actions or emotions | Finding middle ground | Reaching compromises | Synthesizing solutions that please everyone involved | Using the old to make something new |  |  | Going to extremes | Disrupting group efforts | Ignoring healthy approaches to life | Becoming an addict | Practicing gluttony | Tearing something or someone apart | Breaking alliances | Temperance | 14 | major | harmony |  |  |  |  | 
Adultery and unfaithfulness | A string of extremely bad luck is coming your way | Beware evil influences and wolves in sheep's clothing | shadow | materialism | bondage | delusion | Appreciating the luxuries that life has to offer | Being comfortable in your own skin | Enjoying your sexuality | Splurging on an expensive personal item | Embracing the fact that everyone has a darker side | Dealing with unhealthy impulses in healthy ways |  |  | Putting excessive emphasis on appearances | Always wanting more | Valuing possessions more than people or relationships | Allowing base instincts to govern your life | Being selfish | Attributing your own dark impulses to outside forces or other people |  | The Devil | 15 | major |  |  |  |  |  | 
Impending disaster | Cancel plans and reverse decisions | Someone wants to take you down a notch or two | demolition | upheaval | deconstruction | disaster | "Breaking out of old, confining habits and mindsets" | Clearing the way for new growth | Dispelling the influence of an inflated ego | Getting back to basics | Stripping away harmful illusions | Receiving sudden insight |  |  | Clinging to traditions that repress growth | Engaging in willful blindness | Rejecting evidence that change is needed | Ignoring guidance from a higher power | Maliciously engaging in destructive behavior |  |  | The Tower | 16 | major | destruction |  | Don't hold back; say what you really mean |  |  | 
Get an astrology chart drawn up | Someone is a little too starstruck | What's happening now has long been fore-ordained | hope | optimism | openness | certainty | Hoping for the best | Believing good things happen to good people | Seeing events in the best possible light | Adopting a generous spirit | Seeking guidance from above | Embracing possibility over probability |  |  | Denying unpleasant truths | "Denying personal accountability and saying, ""Things just happen!""" | Ignoring signs and omens | Preferring illusion to reality | Spreading pessimism and stinginess of spirit |  |  | The Star | 17 | major | faith | longing |  | truth |  | 
Watch for problems at the end of the month | Someone you know needs to howl at the moon more often | Someone is about to change his or her mind about an important decision | mystery | fantasy | imagination | dreams | Enjoying healthy fantasies and daydreams | Using your imagination | Practicing magic or celebrating the magic of everyday life | Attuning yourself to the cycles of nature | Embracing the unknown |  |  |  | Becoming unable to separate fantasy from reality | Suffering from delusions | Losing your appreciation for the fantastic or magical | Adopting a ruthlessly logical mindset | Failing to appreciate life's mysteries |  |  | The Moon | 18 | major | uncertainty |  |  |  |  | 
"Everything's coming up roses (or sunflowers, whatever the case may be)" | "Whatever's on your mind, go for it because you can't lose today" |  | joy | brilliance | validation | attention | Seeing things clearly | Experiencing intense joy | Celebrating your own successes | Knowing you're good at what you do | Gaining recognition for your personal genius |  |  |  | Being dazzled by your own accomplishments | Becoming absorbed in your own self-image | Feeling rushed and distracted | Exerting yourself to the point of exhaustion | Overstating your abilities or misrepresenting your achievements |  |  | The Sun | 19 | major | energy |  |  |  |  | 
An old issue you thought was over will come up again today | "Get ready for huge changes: break-ups, sudden calls from old friends, and unexpected setbacks" | God's trying to get your attention | revival | renewal | resurrection | evaluation | Receiving a wake-up call | Discovering a new purpose in life | Becoming totally and completely yourself | Receiving a well-deserved reward | Passing an evaluation or examination | Welcoming the start of a new phase of life |  |  | Being weighed in the balances and found wanting | Failing to measure up to a well-defined standard | Being caught goofing off or misbehaving | Failing to prepare for an examination you know is coming | Rejecting an opportunity to reinvent yourself |  |  | Judgement | 20 | major | invitation |  |  |  |  | 
Winning the lottery | Getting your heart's desire | Having everything you ever imagined having | wholeness | integration | totality | completeness | Having it all | Knowing and loving yourself as completely as possible | Seeing the interconnection of all things and people | Enhancing your perspective | Living life to its fullest | Understanding the meaning of life |  |  | Allowing greed and envy to prevent you from enjoying what you do possess | Failing to see the larger design in ordinary events | "Believing that everything that exists can be touched, counted, or measured" | Failing to see the divine reflected in those around you |  |  |  | The World | 21 | major | fullness |  |  |  |  | 
"Someone has the ""hots"" for you" | A new job offer is coming your way | "Walk softly, and carry a big stick" | desire | inspiration | vision | creation | Being inspired | Identifying an important goal | Being given the opportunity to do whatever you want to do | Giving or receiving direction | Seeing a solution | Creating something new | "Being aroused, sexually or creatively" |  | Failing to take advantage of a great opportunity | Being ineffectual or lazy | Making an inadequate effort | "Working toward a goal, but lacking the resources or initiative to achieve success" | Setting inappropriate goals | Failing to take a stand |  | ace of wands | 1 | wands | invention |  |  |  |  | 
Beware false friends | Don't be mealy-mouthed; say what you think and do what you want to do |  | conflict | decision | option | individuality | Having a choice | Offering or being offered an option | Seeing the value of another person's approach | "Understanding there's more than one way to ""skin a cat""" | Successfully doing more than one thing at a time | Being empowered to make a choice |  |  | Misrepresenting your intentions | Doing one thing while desiring another | Changing course mid-stream for no good reason | Refusing to change your goal even when pursuing it no longer makes sense | Disregarding the input of others |  |  | two of wands | 2 | wands |  |  |  |  |  | 
You'll be planning a trip soon | Be on the lookout: your ship is coming in |  | implementation | action | exploration |  | Putting a plan into motion | Taking that critical first step | Making good things happen | Going beyond your limits | Blazing new trails | Hitting the ground running | Seeing your plans come to fruition |  | Procrastinating | "Knowing what to do, but refusing to do it" | Launching a project without a clear definition of who should do what | Rejecting an opportunity to try something new | Failing to finish what you start |  |  | three of wands | 3 | wands |  |  |  |  |  | 
Someone is watching and evaluating your work | You may get a wedding invitation soon |  | celebration | jubilation | community | teamwork | Sharing in a great celebration | Sharing in a communal sense of achievement and success | Preparing for a party | Working together toward a common goal | Giving or winning awards |  |  |  | Keeping your nose to the grindstone | Recognizing good work by demanding more work | Failing to share in a group celebration | Allowing sour grapes to poison your moment in the sun | Refusing to do your part |  |  | four of wands | 4 | wands | completion |  |  |  |  | 
Prepare for a fight with your best friend | "Remember: once you let words loose, you can't take them back" |  | confrontation | disruption | distinction | objection | Calmly expressing a dissenting opinion | Allowing someone to use his or her own methods to get a job done | Opening the floor for discussion or debate | Comparing progress made so far to standards set earlier |  |  |  |  | Berating others for their ridiculous opinions | Picking fights | Offering destructive criticism | Baiting people with barbed remarks | Disrupting progress with an endless stream of pointless objections |  |  | five of wands | 5 | wands | strife |  |  |  |  | 
"Someone is planning a party for you, but not everyone feels so good about your recent success" | Watch out for envious friends |  | victory | achievement | success | triumph | Outperforming your peers | Winning a competition | Being recognized as a capable person | "Having your ""moment in the spotlight""" | Being cheered on by the crowd | Getting an award | Earning the admiration of others | "Telling someone, ""Good job!""" | Being a bad winner | Allowing your achievements to inflate your ego | Looking down on people who seem less capable | Craving to be the center of attention | Giving or receiving insincere praise | Envying the achievements of others |  | six of wands | 6 | wands |  |  |  |  |  | 
Don't be surprised by a personal attack | Prepare to defend yourself or someone you love |  | bravery | resolve | determination |  | Refusing to be silenced through fear or intimidation | Continuing a fight against all odds | Being fierce | Defending yourself against physical and emotional attacks | Refusing to put up with abuse | Clinging to your values despite all pressure to abandon them |  |  | Having a chip on your shoulder | Taking unnecessary risks as a means of proving your fearlessness | Looking for an opportunity to take offense | Responding to constructive criticism with defensiveness | Refusing to stand up for yourself and your beliefs |  |  | seven of wands | 7 | wands |  |  |  |  |  | 
Watch for a surprising letter in the mail | Your whole world is about to be turned on its ear |  | speed | swiftness | responsiveness | change | Taking swift action | Moving forward with a plan as quickly as possible | Energizing yourself | Adapting to sudden changes | Taking setbacks in stride | Embracing the idea that nothing stays the same forever | Reacting quickly and appropriately to unforeseen problems |  | Giving in to panic | Running in circles and screaming | Insisting things must always stay the same | Stirring the pot just to see what will happen | Rushing others | "Refusing to re-evaluate a schedule or program, even when it's clearly no longer appropriate" |  | eight of wands | 8 | wands |  |  |  |  |  | 
Don't relax yet; there's more to come | The test you're facing now is happening for one reason: to show you who your real friends are |  | toughness | persistence | stamina | loyalty | Sticking with it for the duration | Fulfilling your promises and obligations | Bearing up under incredible duress | Dragging yourself across the finish line | Picking yourself up by your own bootstraps | Refusing to quit | Going as far as you can go and being satisfied with your performance |  | Making yourself a martyr | Abandoning your post | Giving up at the first sign of opposition | Being prevented from fulfilling an obligation | Failing to be dependable | Refusing to let something go that needs to be released | Beating a dead horse | nine of wands | 9 | wands | release |  |  |  |  | 
You're worn out | "Back off, take a time out, and let someone else handle things for a while" |  | exhaustion | resistance | burden | oppression | Holding your own in extreme circumstances | Helping others carry their burdens | Coming to the aid of the oppressed | Knowing and being honest about your own limits | Recognizing when you are not well-suited for a particular task |  |  |  | Taking on more work than you know you can handle | "Refusing to say ""No"" when you're already overloaded" | Making a habit of working overtime | Shielding others from facing the consequences of their own poor judgment | Over-extending yourself on a regular basis |  |  | ten of wands | 10 | wands |  |  |  |  |  | 
"This card represents a young man or woman with a fiery, enthusiastic demeanor, likely born a Cancer, Leo, or Virgo, who wants to start a new relationship with you" |  |  | enthusiasm | eagerness | confidence | validation | Leaping at a new opportunity | Being a cheerleader or ardent advocate for your cause | Being a True Believer | Taking first steps toward independence | Trusting in your own abilities | Asking for feedback |  |  | Basing your entire self-image on what others think | Seizing every new idea that comes your way without question | Habitually discounting input or feedback from others | "Being so eager to ""do it yourself"" that you hinder your own progress" |  |  |  | page of wands | page | wands | affirmation |  |  |  |  | 
"This card represents a man with a bold, passionate personality, likely born between July 12th and August 11th, who wants to sweep you off your feet" |  |  | boldness | bravado | passion | persuasion | Charging ahead | Making rapid progress | Refusing limits | Dazzling those around you with your wit and charm | Convincing others of your right to leadership | Convincing others to follow you | Being a catalyst for change |  | Blundering forward with inadequate skill or information | Running roughshod over the feelings of others | Using sex appeal to manipulate others | Forcing your leadership or ideology on others | Beginning many projects without finishing any |  |  | knight of wands | knight | wands | advocacy |  |  |  |  | 
"This card represents a woman with an attractive, appealing personality, likely born between March 11th and April 20th, who wants to charm you into doing things her way" |  |  | attention | attraction | unification | collaboration | Paying close attention | Helping others focus on the issue at hand | Getting everyone to work together | Identifying common ground | "Bringing people together, despite their differences" | Using reverse psychology |  |  | "Being distracted, or using your charms or skills to distract others from the goal" | Calling attention to yourself with negative or unhealthy behaviors | Disrupting group activities as a means of feeding your own ego |  |  |  |  | queen of wands | queen | wands |  |  |  |  |  | 
"This card represents an older man with a commanding, charismatic personality, likely born between November 13th and December 12th, who prefers to give directions and have them followed" |  |  | creativity | ingenuity | achievement | direction | Putting old things together in new and exciting ways | Coming up with unexpected solutions | Using your experience to solve puzzles and problems | Doing what you set out to do | Directing the efforts of others |  |  |  | Using your creativity to get out of honest work | Investing great energy in avoiding responsibility | Boasting about achievements without putting your expertise to practical use | Lording it over others |  |  |  | king of wands | king | wands |  |  |  |  |  | 
Romance is in the cards | A new relationship or marriage is just around the corner | Prayers are answered | intuition | spirituality | affection | motivation | Trusting your feelings | Opening yourself to spirit | Accepting and returning affection | Getting in touch with what motivates you | Taking advantage of an opportunity to express love to others | "Listening to the still, small voice" |  |  | Hiding your feelings | Spurning an opportunity to love or be loved | Numbing yourself to spiritual yearnings | Rejecting the counsel of your heart | Becoming a puppet of your own emotions | Indulging in hysteria or obsession |  | ace of cups | 1 | cups |  |  |  |  |  | 
Someone has a secret crush on you | Relationships should be mutual; get rid of a leech |  | union | attraction | combination | affection | Being drawn to someone | Longing for someone or something | Acting on your desires | Discovering a feeling is mutual | Doing what makes you feel good | Merging | Healing broken ties | Admitting two people feel differently about each other and moving on | Burning bridges | Becoming caught up in unhealthy codependency | Shutting out anyone but your chosen few | Obsessing on someone who does not return your affections | "Despairing over finding ""The One""" | Deceiving yourself about your true orientation |  | two of cups | 2 | cups |  |  |  |  |  | 
Unconventional romance is coming your way: a love affair with someone you've always dismissed |  |  | celebration | expression | community | friendliness | Celebrating your feelings or connections with others | "Expressing joy through song, dance, or physical affection" | Working together with others who share your feelings | "Performing acts of service as a way of saying, ""I love you""" | Embracing unconventional romantic arrangements |  |  |  | Mistaking giddiness for true affection | Being dominated by manic emotions | Expecting everyone to always feel the same way you do | Demanding unreasonable support from friends or family | Partying to a dangerous or unhealthy extent |  |  | three of cups | 3 | cups |  |  |  |  |  | 
A lover is getting restless | "Find out what he or she needs, or new opportunities may lure your partner away" |  | boredom | listlessness | lethargy | stability | Maintaining your emotional stability | Refusing to give in to overwhelming emotions | Appreciating what you have and refusing to take it for granted | Seeing the value of long-term commitments |  |  |  |  | Being bored | Daydreaming at the expense of your work | Refusing to be engaged by opportunity | Taking people and relationships for granted | Ignoring romantic or spiritual opportunities | Spurning inspiration | "Feeling everything should stay ""just like it is""" | four of cups | 4 | cups | ingratitude |  |  |  |  | 
A breakup looms | Don't cry over spilt milk | Take your lumps and get back in the saddle | loss | despair | re-evaluation | regret | Acknowledging loss and moving on | "Focusing on how the glass remains ""half-full""" | Finding the silver lining in a dark cloud | Recognizing that loss is a natural part of life | Embracing healthy grief | Learning lessons from harsh consequences |  |  | Wallowing in unhealthy grief or self-pity | Refusing to move on and let go | Clinging to the past | Obsessing on past lives and past loves | Failing to live in the present | Beating yourself up over past mistakes | Allowing fear of failure to limit your efforts | five of cups | 5 | cups | uncertainty | repentance |  |  |  | 
A stingy spirit is strangling your enjoyment of life | "Loosen up and think of others for once, why don't you?" |  | charity | sharing | sacrifice | cooperation | Donating your time and talents to others | Taking satisfaction in knowing how your efforts will aid others | "Creating a ""win-win"" scenario" | Giving even when you know repayment is not possible | Being motivated to do a good deed |  |  |  | Linking your sense of self-worth to the appraisals of others | Striving to appear more needy than you really are | Taking undeserved or unmerited charity | Bragging about your charitable efforts | Profiteering in times of distress | Refusing to share a burden |  | six of cups | 6 | cups | fairness |  |  |  |  | 
You're being fed a line | "Rather than be dazzled by fancy words and promises, demand something real" |  | imagination | dreams | illusions | goals | Motivating yourself with images of future success | Using visualization to encourage progress | Taking an imaginative or creative approach to problem solving | Making dreams come true | Gleaning insight from personal visions |  |  |  | Obsessing on imaginary fears or uncertain consequences | Giving in to emotional or political terrorism | Spending more time dreaming than working | Failing to envision the possible repercussions of your choices | Being controlled by fear |  |  | seven of cups | 7 | cups |  |  |  |  |  | 
"Someone's ""stepping out"" on you, now or in the near future" | Maybe it's time to quit talking about the problem and just move on |  | longing | dissatisfaction | quest | departure | Wanting something better | Blazing your own trail | Realizing there must be more to life | Leaving an unhealthy situation behind | Starting your own business | Going on a retreat | "Seeking the ""still, small voice""" |  | Being implacable | Finding fault | Nitpicking | Refusing to settle down | Running away from problems or confrontations | "Saying, ""It's my way or the highway!""" | Harping on past mistakes and disappointments | eight of cups | 8 | cups | withdrawal |  |  |  | Threatening to quit as a strategy to get your way | 
"Whatever you want, you'll get it" |  |  | satisfaction | sensuality | luxury | pleasure | Being delighted with your own achievements | Recognizing your own talents and abilities | Reveling in the good things life has to offer | Indulging yourself | Relaxing and unwinding | Having everything you need in order to feel complete |  |  | Being smug | Satisfying yourself at the expense of others | Being selfish | Over-indulging | Avoiding work that needs to be done | Claiming achievements or skills you do not possess | "Never being satisfied, no matter how much you have" | nine of cups | 9 | cups |  |  |  |  |  | 
Marriage and family are in the cards | Expect a friendship to blossom into a romance |  | joy | fulfillment | overwhelming emotion | giddiness | Having more than you ever dreamed | Being deeply thankful for all you've been given | Recognizing the Hand of God in the gifts the Universe brings your way | Experiencing transcendent joy | Achieving domestic bliss |  |  |  | Comparing your achievements or relationships to unrealistic fantasy standards | Experiencing emotions so intense they blunt your ability to cope with reality | Feeling overwhelmed | Envying the achievements and happiness of others |  |  |  | ten of cups | 10 | cups |  |  |  |  |  | 
"This card represents a young man or woman with a watery, dreamy demeanor, likely born a Libra, Scorpio, or Sagittarius, who wants to start a new relationship with you" |  |  | enthusiasm | first impressions | romanticism | superficiality | Showing your emotions freely | Throwing yourself into romance | Nursing a secret crush | Indulging in romantic fantasy | Starting a new relationship | Recalling your first love | Experiencing love for the first time | Converting to a new religion | Mistaking a crush for true love | Reading romantic intention into innocent action | Frantically trying to impress others | Indulging in overly-sweet sentimentality | Pretending to more romantic or spiritual experience than you possess |  |  | page of cups | page | cups |  |  |  |  |  | 
"This card represents a man with an emotional, sensitive personality, likely born between October 13th and November 11th, who wants you to rally around his latest passionate cause" |  |  | fervor | zeal | moodiness | illumination | Being deeply committed to a cause | "Giving in to strong emotions, from excitement to depression" | Acting on intuition alone | Solving problems intuitively | Believing in and basing decisions on ideals instead of realities | Bringing intuition or passion to the table |  |  | Becoming a fanatic | Rejecting information that suggests your intuitions are misguided | Allowing your emotions to control you | "Giving in to jealousy, confrontation, and peer pressure" | Hiding or ignoring intuitive insights |  |  | knight of cups | knight | cups |  |  |  |  |  | 
"This card represents a woman with an emotional, deeply spiritual nature, likely born between June 11th and July 11th, who uses emotional and spiritual appeals to sway others to her point of view" |  |  | insightfulness | spirituality | compassion | empathy | Allowing yourself to be moved by the plight of others | Feeling strong emotions | Possessing unusual sympathy or empathy | Trusting your feelings to guide you | Calling on psychic abilities | Achieving unity with Spirit |  |  | "Becoming so caught up in matters of Spirit, you become detached from the world" | Allowing empathy to disable you (instead of inspire action) | Using psychic abilities to wield covert influence | "Wallowing in emotionalism, sentiment, or self-pity" |  |  |  | queen of cups | queen | cups | instinct |  |  |  |  | 
"This card represents an older man with a gentle, sensitive presence, likely born between February 9th and March 10th, who is known for his fairness and tolerance" |  |  | wisdom | diplomacy | restraint | composure | Keeping a stiff upper lip | Being brave and clear in the face of adverse circumstances | Sharing experience as a way of comforting others | Making fair and empathetic decisions | "Honoring the spirit, not just the letter, of the law" |  |  |  | Allowing yourself to become rigid and unemotional | Making unfair decisions based on a hidden agenda | Making decisions without regard for their emotional impact on others | Abusing spiritual authority | Using emotional or spiritual leverage to exercise unhealthy control over others |  |  | king of cups | king | cups |  |  |  |  |  | 
The time to make a choice is now | Stop wavering and do what you know is best |  | logic | objectivity | intellect | choice | Making objective decisions | Applying logic | Reasoning your way out of a difficult situation | Solving puzzles | Thinking things through | Emphasizing the facts | Clearing your mind | Seeking clarity | Applying ruthless or twisted logic | Gloating over your own superior intellect | Using quick thinking to deceive or confuse others | Confusing snap judgments with quick thinking | Making decisions without thinking through consequences |  |  | ace of swords | 1 | swords |  |  |  |  |  | 
"Sometimes, the only way to win is to refuse to fight" | You're stuck for now; let time pass before taking action |  | denial | debate | impasse | truce | Refusing to make a decision without getting the facts | Exploring both sides of an argument | Arguing passionately for what you believe in | Weighing the issues | Encouraging the open exchange of ideas | "Discussing political or religious issues without getting ""hot under the collar""" |  |  | Rejecting evidence that conflicts with dearly-held beliefs | Arguing with others just for the sake of doing so | Nit-picking | Putting off a decision because you're afraid to face the consequences | Preventing others from getting the information they need to make good decisions |  |  | two of swords | 2 | swords |  |  |  |  |  | 
Breakups and infidelity abound | "What hurts now, though, will turn out to be good for you later on" |  | variance | difference | dissatisfaction | heartache | Being brave enough to see things as they really are | Exercising your critical eye | Being your own best critic | Acknowledging that things don't always turn out as planned | Moving past heartbreak to embrace a painful truth |  |  |  | Wallowing in despair | "Allowing yourself to be completely crushed by the thoughts, words, or deeds of another" | Judging yourself too harshly | Holding yourself to an unrealistic standard of excellence | Wearing your heart on your sleeve while carrying a chip on your shoulder |  |  | three of swords | 3 | swords | rejection |  |  |  |  | 
Don't make any decision now | "Wait, and you'll be glad you did" |  | meditation | contemplation | perspective | mindset | Thinking over your plans before putting them into action | Pausing to meditate or clear your mind | Taking time to understand someone or something before criticizing it | Resting | Occupying your thoughts with a healthy distraction |  |  |  | Failing to think things through | Mistaking procrastination for thoughtfulness | "Adopting a point of view and refusing to reconsider your conclusions, even when presented with refuting evidence" | Allowing chaos and whimsy to dominate your thoughts |  |  |  | four of swords | 4 | swords |  |  |  |  |  | 
"Someone is stealing from you, financially or romantically" | Be wary of friends who talk behind your back |  | selfishness | hostility | irrationality | self-preservation | Acting in your own best interest | Choosing to stand up for yourself | Not backing down from disagreement and discord | Taking a stand | Refusing to go along with an unethical plan | Knowing when to bend the rules |  |  | Taking advantage of others | Intimidating others | Acting in an unethical manner | Picking fights | Using words to goad others into violence and irrationality | Ignoring rules you've agreed to abide by | Looking out for yourself while allowing harm to come to others | five of swords | 5 | swords |  |  |  |  | Gloating over victory | 
You'll soon go on a long journey over water | "Actions have unexpected consequences, so be prepared" |  | adaptation | adjustments | science | travel | Making the best of a bad situation | Recovering from defeat | Resetting expectations | Making allowances for unexpected circumstances | Helping others who find themselves in dire circumstances | Changing the way you see the world | Broadening your perspective through study or travel |  | Refusing to accept that things have changed | Playing the victim | Rejecting the idea that your actions have consequences | "Applying scientific criteria to matters of faith, or confusing faith with science" | Believing the whole world should be like your small corner of it |  |  | six of swords | 6 | swords |  |  |  |  |  | 
Don't assume people around you are worthy of your trust | "Ask for an accounting of where people have been, and what they've been doing" |  | dishonesty | presumption | sneakiness | assumptions | "Refusing to do something dishonest, even when there's no chance of ever being caught" | Handling a difficult situation with finesse | Pointing out assumptions | Acting ethically in public and in private | Living a life that is beyond reproach |  |  |  | Stealing or lying | "Doing whatever you can get away with, simply because you can" | Looking for a way around consequences | Justifying wicked behavior by focusing on the wickedness of others | Failing to examine your own motives and prejudices |  |  | seven of swords | 7 | swords |  |  |  |  |  | 
